DATAFLOW,LAST UPDATE,freq,c_dest,purpose,duration,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2020,173270,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2021,193388,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CH,2022,218409,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2012,12364,bu
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2013,13702,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2014,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2015,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2016,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2017,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2018,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2019,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2020,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2021,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2022,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CY,2023,24861,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2012,355770,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2013,263460,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2014,288719,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2015,172287,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2016,174432,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2017,339432,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2018,371926,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2019,420655,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2020,,u
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2021,194981,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2022,600900,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,CZ,2023,583835,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2012,2648012,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2013,3085035,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2014,3047756,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2015,2565442,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2016,2169551,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2017,3882200,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2018,4300153,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2019,3663327,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2020,788390,
ESTAT:TIN00190(1.0),16/10/24 11:00:00,A,AFR,TOTAL,N_GE1,NR,DE,2021,1098279,
